INSERT INTO main_employee (name, second_name, third_name, post_id, b_day, personal_num, phone_number, address, group_num, family_status, place_of_bd, appointment_order_num, appointment_order_date, rank_id)
VALUES
('Ульян', 'Трофимов', 'Викентьевич', 1, '1988-02-22', 'Н-658075', '+75152492858', 'ст. Рыбинск, пр. Механический, д. 841 к. 6/6, 262510', '-', 'холост', 'г. Владивосток', '514', '2010-11-26', 11),
('Серафим', 'Ковалев', 'Фёдорович', 2, '1987-01-03', 'Р-218594', '+74799865312', 'д. Липецк, ш. Высокое, д. 7, 568055', '-', 'холост', 'к. Магнитогорск', '293', '2013-04-18', 11),
('Ярослав', 'Фадеев', 'Борисович', 2, '1978-06-15', 'Ф-602041', '+76351855186', 'д. Усть-Ишим, пер. Терешковой, д. 8/2 стр. 7/3, 064220', '-', 'холост', 'ст. Энгельс', '961', '2014-03-19', 11),
('Соломон', 'Костин', 'Геннадиевич', 2, '1973-08-22', 'Е-981564', '+73672378944', 'д. Курумкан, ул. Черняховского, д. 677 к. 1/4, 707200', '-', 'разведен', 'п. Магадан', '531', '2016-03-06', 9),
('Аркадий', 'Лукин', 'Ярославович', 2, '2001-10-18', 'Х-731839', '+72846216836', 'ст. Кунгур, наб. Поперечная, д. 468 стр. 78, 447388', '-', 'разведен', 'с. Чита', '816', '2010-10-19', 11),
('Роман', 'Блохин', 'Гурьевич', 3, '1983-10-27', 'Х-414391', '+76897687939', 'ст. Подольск, пр. Декабристов, д. 1/8, 722769', '-', 'разведен', 'п. Белгород', '166', '2017-10-15', 8),
('Поликарп', 'Щербаков', 'Эдгарович', 4, '1978-10-06', 'Ю-508487', '+78377573179', 'ст. Сладково, бул. Коммуны, д. 52 к. 2, 717993', 'Группа 1', 'разведен', 'клх Красновишерск', '162', '2020-10-22', 7),
('Феликс', 'Симонов', 'Артурович', 5, '1990-10-24', 'Э-852363', '+73548732792', 'г. Минеральные Воды, наб. Ульянова, д. 8/5, 313135', 'Группа 1', 'холост', 'ст. Когалым', '157', '2019-03-05', 6),
('Измаил', 'Емельянов', 'Алексеевич', 5, '1986-07-01', 'С-233198', '+72766445229', 'к. Цимлянск, пер. Троицкий, д. 952, 467798', 'Группа 1', 'женат', 'д. Вязьма', '964', '2018-09-16', 7),
('Варлаам', 'Суханов', 'Исидорович', 5, '1995-11-02', 'К-236656', '+79952742834', 'с. Диксон, наб. Братская, д. 459 стр. 2, 269055', 'Группа 1', 'холост', 'к. Льгов', '369', '2015-12-23', 7),
('Афанасий', 'Веселов', 'Венедиктович', 5, '2003-06-18', 'Т-320590', '+79195391167', 'п. Южноуральск, пр. Радищева, д. 682, 381465', 'Группа 1', 'женат', 'ст. Южно-Курильск', '962', '2011-12-23', 3),
('Иннокентий', 'Кудряшов', 'Фадеевич', 5, '1991-04-09', 'Т-664996', '+77155442756', 'клх Витим, наб. Прудная, д. 3/6 к. 1, 941129', 'Группа 1', 'разведен', 'с. Черкесск', '759', '2015-03-01', 4),
('Максим', 'Игнатьев', 'Григорьевич', 5, '1998-11-01', 'Щ-933022', '+76836876937', 'п. Шерегеш, пр. Демьяна Бедного, д. 51 стр. 9, 977199', 'Группа 1', 'разведен', 'г. Белгород', '772', '2011-02-17', 2),
('Адриан', 'Воронов', 'Трофимович', 5, '1993-10-03', 'Л-227421', '+77715876258', 'с. Тобольск, ул. Енисейская, д. 9/7, 402672', 'Группа 1', 'холост', 'д. Гусь-Хрустальный', '358', '2018-02-21', 1),
('Тихон', 'Тимофеев', 'Феоктистович', 5, '1988-11-12', 'Е-422075', '+74571957973', 'ст. Нарым, наб. Беляева, д. 2 к. 1/1, 800795', 'Группа 1', 'женат', 'п. Корсаков', '131', '2016-08-05', 7),
('Фока', 'Капустин', 'Антипович', 5, '1973-03-23', 'П-983941', '+76521452527', 'с. Лабытнанги, ш. Профсоюзное, д. 447, 934147', 'Группа 1', 'холост', 'ст. Невельск', '183', '2011-08-13', 2),
('Игорь', 'Мухин', 'Владиленович', 5, '2001-10-04', 'Р-397109', '+78584945746', 'с. Тайшет, ш. Гвардейское, д. 784 стр. 6, 121594', 'Группа 1', 'холост', 'г. Челябинск', '999', '2014-03-11', 1),
('Демид', 'Дроздов', 'Владиславович', 5, '1997-09-06', 'М-762893', '+76918877577', 'д. Нерчинск, бул. Морской, д. 389 к. 82, 838714', 'Группа 1', 'холост', 'с. Сунтар', '112', '2013-08-16', 6),
('Ипат', 'Савин', 'Антипович', 5, '1983-12-07', 'Я-371378', '+78157814584', 'д. Оренбург, ул. Загородная, д. 338 стр. 861, 352020', 'Группа 1', 'разведен', 'д. Белорецк', '786', '2015-10-13', 5),
('Трофим', 'Дьячков', 'Эдгардович', 5, '1999-03-25', 'Е-307318', '+76914158935', 'г. Баргузин, алл. Полярная, д. 5, 984874', 'Группа 1', 'разведен', 'ст. Усолье Сибирское', '857', '2013-05-11', 2),
('Адриан', 'Потапов', 'Трифонович', 5, '1991-09-11', 'Г-732451', '+76852838489', 'клх Змеиногорск, ш. Монтажников, д. 9 стр. 286, 821465', 'Группа 1', 'женат', 'г. Вендинга', '989', '2011-04-05', 2),
('Гордей', 'Карпов', 'Ефстафьевич', 5, '1977-09-12', 'Ч-789862', '+72137696643', 'к. Орехово-Зуево, пер. Глинки, д. 12 к. 972, 987285', 'Группа 1', 'холост', 'г. Карабудахкент', '615', '2012-10-09', 5),
('Куприян', 'Суворов', 'Елизарович', 5, '1989-06-16', 'Х-92532', '+76429874268', 'с. Кырен, ул. Ломоносова, д. 205 стр. 138, 212073', 'Группа 1', 'холост', 'г. Якша', '976', '2014-07-29', 5),
('Парфен', 'Кулаков', 'Яковлевич', 5, '1984-10-17', 'Я-344838', '+76739848794', 'ст. Учалы, ш. Микрорайон, д. 415 стр. 4, 418469', 'Группа 1', 'разведен', 'п. Шатой', '271', '2017-06-02', 6),
('Артем', 'Чернов', 'Елисеевич', 3, '1993-07-02', 'С-865022', '+71489218121', 'п. Шатки, алл. Энтузиастов, д. 11 к. 620, 989435', 'Группа 1', 'женат', 'к. Муром', '749', '2015-10-04', 8),
('Святополк', 'Бирюков', 'Феодосьевич', 4, '2001-05-05', 'Х-48956', '+75595498278', 'п. Шахты, пр. Солнечный, д. 7/1, 183734', 'Группа 2', 'холост', 'клх Верхний Баскунчак', '758', '2021-12-24', 8),
('Евсей', 'Павлов', 'Иосипович', 5, '1997-02-26', 'Г-960261', '+76283589334', 'г. Кыштым, ш. Николаева, д. 49, 565255', 'Группа 2', 'разведен', 'г. Энгельс', '731', '2021-05-08', 4),
('Тимофей', 'Степанов', 'Ефстафьевич', 5, '1975-06-05', 'А-954701', '+71315212834', 'к. Шахты, бул. Смоленский, д. 275 к. 3/9, 914990', 'Группа 2', 'разведен', 'к. Анапа', '862', '2019-09-26', 2),
('Спиридон', 'Калашников', 'Федотович', 5, '2001-10-03', 'А-865240', '+72688965416', 'клх Бомнак, бул. Фрунзе, д. 15, 177380', 'Группа 2', 'разведен', 'с. Шереметьево', '686', '2015-06-12', 7),
('Тит', 'Копылов', 'Артёмович', 5, '1979-10-17', 'Щ-360725', '+72142819627', 'г. Терней, ул. Шоссейная, д. 97, 807521', 'Группа 2', 'женат', 'д. Коломна', '346', '2012-12-13', 6),
('Болеслав', 'Суворов', 'Ильясович', 5, '2004-09-10', 'Е-466974', '+77667941746', 'клх Усть-Баргузин, пер. Степана Разина, д. 4/4 стр. 56, 289773', 'Группа 2', 'холост', 'к. Кузнецк', '837', '2019-08-04', 7),
('Виссарион', 'Макаров', 'Гаврилович', 5, '1998-09-25', 'Ф-200297', '+73291786637', 'к. Таштагол, ш. Орловское, д. 96 стр. 4/4, 416288', 'Группа 2', 'холост', 'д. Советский', '655', '2013-06-23', 2),
('Мокей', 'Жданов', 'Терентьевич', 5, '1982-10-26', 'Д-152569', '+75821328334', 'п. Сызрань, бул. Бульварный, д. 66, 819917', 'Группа 2', 'холост', 'с. Орск', '895', '2012-08-10', 1),
('Харитон', 'Самойлов', 'Герасимович', 5, '1978-04-24', 'А-46006', '+73149457721', 'с. Завьялиха, бул. Короленко, д. 65 к. 1/2, 293566', 'Группа 2', 'разведен', 'п. Щелково', '776', '2012-03-16', 2),
('Амос', 'Орехов', 'Ефремович', 5, '1976-06-22', 'А-770382', '+73129466172', 'к. Агинское (Забайк.), ш. Депутатское, д. 556, 266862', 'Группа 2', 'холост', 'клх Абинск', '625', '2011-04-15', 2),
('Ладимир', 'Тимофеев', 'Арсеньевич', 5, '1978-08-22', 'О-656400', '+77417467893', 'д. Бронницы, пр. 60 лет СССР, д. 6 стр. 660, 332266', 'Группа 2', 'разведен', 'г. Салехард', '977', '2018-03-14', 7),
('Марк', 'Одинцов', 'Германович', 5, '1974-02-20', 'Х-744263', '+79254179239', 'д. Суздаль, ул. Щетинкина, д. 669 стр. 4, 801615', 'Группа 2', 'холост', 'клх Малгобек', '726', '2019-07-27', 7),
('Илья', 'Калашников', 'Фёдорович', 5, '1990-08-25', 'Ф-420549', '+76562986622', 'д. Курумкан, алл. 50 лет Победы, д. 57 стр. 153, 830398', 'Группа 2', 'холост', 'клх Озеры', '778', '2020-10-24', 4),
('Доброслав', 'Морозов', 'Харлампович', 5, '2003-04-27', 'Ч-320745', '+73312512456', 'с. Калуга, ул. Черняховского, д. 69, 981681', 'Группа 2', 'разведен', 'клх Нижний Тагил', '519', '2011-05-24', 6),
('Антип', 'Родионов', 'Иосипович', 5, '1975-09-26', 'Л-678112', '+74566821328', 'г. Усть-Ишим, алл. Черемушки, д. 45, 766444', 'Группа 2', 'холост', 'п. Карпинск', '733', '2020-12-22', 7),
('Самсон', 'Фролов', 'Ефимьевич', 5, '2003-11-26', 'Д-516884', '+71811386185', 'д. Усть-Ишим, пр. Волжский, д. 681 стр. 784, 838293', 'Группа 2', 'холост', 'д. Невьянск', '378', '2022-02-13', 6),
('Потап', 'Пономарев', 'Иларионович', 5, '1975-09-15', 'К-490168', '+79822288432', 'к. Меренга, ул. Цветочная, д. 8 стр. 6, 748186', 'Группа 2', 'холост', 'д. Партизанск', '711', '2018-09-09', 5),
('Капитон', 'Денисов', 'Борисович', 5, '1999-03-31', 'Г-275384', '+76159962817', 'клх Сусуман, ул. Виноградная, д. 6 к. 9/9, 480030', 'Группа 2', 'холост', 'д. Калязин', '286', '2018-04-02', 7),
